company;isin;index;drop;too_late;too_early;sector;supersektor;publication_date;fy_end;is_tax_in_ar;only_perc;elig_rev_abs;elig_capex_abs;elig_opex_abs;elig_rev_perc;elig_capex_perc;elig_opex_perc;alig_rev_abs;alig_capex_abs;alig_opex_abs;alig_rev_perc;alig_capex_perc;alig_opex_perc;rev_total;capex_total;opex_total;no_pages
Adidas;DE000A1EWWW0;DAX;;;;Consumer;Consumer Goods;09.03.2022;31.12.;yes;no;0;604;ins;0;51;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;21234;1188;692;1,5
Airbus;NL0000235190;DAX;;;;Industrial;Industrials;17.02.2022;31.12.;yes;no;0;0;0;0;0;0;0;0;0;0;0;0;52149;1928;2746;n.a.
Allianz;DE0008404005;DAX;x;;;Insurance;FIRE;04.03.2022;31.12.;yes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3
BASF;DE000BASF111;DAX;;;;Chemicals;Basic Materials;25.02.2022;31.12.;yes;no;8881;1340;504;11;29;11;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;78598;4627;4424;1
Bayer;DE000BAY0017;DAX;;;;Chemicals;Basic Materials;01.03.2022;31.12.;yes;no;0;276;0;0;8,8;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;44081;3126;6757;1,5
BMW;DE0005190003;DAX;;;;Automobile;Consumer Goods;16.03.2022;31.12.;yes;no;92262;25917;4478;82,9;99,7;100;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;111239;25984;4478;3
Brenntag;DE000A1DAHH0;DAX;;;;Industrial;Industrials;09.03.2022;31.12.;no;yes;0;n.a.;n.a.;0;1,5;0,2;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;14383;n.a.;n.a.;n.a.
Continental;DE0005439004;DAX;;;;Automobile;Consumer Goods;21.03.2022;31.12.;yes;yes;979;n.a.;n.a.;2,9;3;2,9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;33765;n.a.;n.a.;2
Covestro;DE0006062144;DAX;;;;Chemicals;Basic Materials;01.03.2022;31.12.;yes;yes;5089;212;294;32;8,3;25,6;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;15903;2552;1147;3
Daimler Truck Holding;DE000DTR0CK8;DAX;;;;Industrial;Industrials;24.03.2022;31.12.;yes;no;39764;2164;1644;100;100;100;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;39764;2164;1644;2
Delivery Hero;DE000A2E4K43;DAX;;x;;Retail;Consumer Services;28.04.2022;31.12.;yes;yes;1405;n.a.;n.a.;24;19;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5856;n.a.;n.a.;n.a.
Deusche Post;DE0005552004;DAX;;;;Transportation & Logistics;Industrials;09.03.2022;31.12.;yes;no;45653;4467;1441;56;64;62;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;81747;6979;2337;1
Deutsche Bank;DE0005140008;DAX;x;;;Banks;FIRE;11.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1
Deutsche Börse;DE0005810055;DAX;x;;;Financial Services;FIRE;10.02.2022;31.12.;yes;yes;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4219;n.a.;n.a.;2,5
Deutsche Telekom;DE0005557508;DAX;;;;Telecommunication;Telecommunication;24.02.2022;31.12.;yes;no;1996;87;10;1,8;0,2;2,1;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;108794;35665;473;1,5
E.ON;DE000ENAG999;DAX;;;;Utilities;Utilities;16.03.2022;31.12.;yes;no;13802;3840;676;18;73;61;13614;3727;661;18;71;60;77358;5243;1111;7
Fresenius;DE0005785604;DAX;;;;Pharma & Healthcare;Pharma & Healthcare;24.03.2022;31.12.;yes;yes;375;n.a.;n.a.;1;49;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;37520;n.a.;n.a.;1
Fresenius Medical Care;DE0005785802;DAX;;;;Pharma & Healthcare;Pharma & Healthcare;23.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;53;1;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;17619;n.a.;n.a.;1,5
Hannover Rück;DE0008402215;DAX;x;;;Insurance;FIRE;10.03.2022;31.12.;yes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,5
Heidelberg Cement;DE0006047004;DAX;;;;Construction;Industrials;24.03.2022;31.12.;yes;yes;9585;1114;822;51,2;57;55,9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;18720;1954;1470;1,5
Hellofresh;DE000A161408;DAX;;;;Retail;Consumer Services;01.03.2022;31.12.;no;no;0;47;58;0;10;76;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5993;466;76;n.a.
